model,epochs,svm_C,losses_train,losses_val,errors_train,errors_val
word2vec+svm,10,0.01,0.49850000000000005,0.506,0.49850000000000005,0.506
word2vec+svm,20,0.01,0.49850000000000005,0.506,0.49850000000000005,0.506
word2vec+svm,50,0.01,0.49850000000000005,0.506,0.49850000000000005,0.506
word2vec+svm,10,0.1,0.497,0.5015000000000001,0.497,0.5015000000000001
word2vec+svm,20,0.1,0.497,0.5015000000000001,0.497,0.5015000000000001
word2vec+svm,50,0.1,0.497,0.5015000000000001,0.497,0.5015000000000001
word2vec+svm,10,1.0,0.496625,0.5015000000000001,0.496625,0.5015000000000001
word2vec+svm,20,1.0,0.496625,0.5015000000000001,0.496625,0.5015000000000001
word2vec+svm,50,1.0,0.496625,0.5015000000000001,0.496625,0.5015000000000001
word2vec+svm,10,2.0,0.496625,0.501,0.496625,0.501
word2vec+svm,20,2.0,0.496625,0.501,0.496625,0.501
word2vec+svm,50,2.0,0.496625,0.501,0.496625,0.501
word2vec+svm,10,4.0,0.49650000000000005,0.501,0.49650000000000005,0.501
word2vec+svm,20,4.0,0.49650000000000005,0.501,0.49650000000000005,0.501
word2vec+svm,50,4.0,0.49650000000000005,0.501,0.49650000000000005,0.501
word2vec+svm,10,8.0,0.49612500000000004,0.501,0.49612500000000004,0.501
word2vec+svm,20,8.0,0.49612500000000004,0.501,0.49612500000000004,0.501
word2vec+svm,50,8.0,0.49612500000000004,0.501,0.49612500000000004,0.501
word2vec+svm,10,16.0,0.49575,0.501,0.49575,0.501
word2vec+svm,20,16.0,0.49575,0.501,0.49575,0.501
word2vec+svm,50,16.0,0.49575,0.501,0.49575,0.501
word2vec+svm,10,32.0,0.49575,0.501,0.49575,0.501
word2vec+svm,20,32.0,0.49575,0.501,0.49575,0.501
word2vec+svm,50,32.0,0.49575,0.501,0.49575,0.501
